Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,169.220001,170.660004,169.220001,170.500000,164.076813,903000
2020-01-02,171.960007,172.000000,169.199997,170.320007,163.903595,1364600
2020-01-03,168.059998,170.449997,168.059998,169.960007,163.557159,1000100
2020-01-06,169.080002,170.339996,168.830002,170.190002,163.778488,1205900
2020-01-07,169.289993,169.460007,167.949997,168.130005,161.796082,1878900
2020-01-08,168.789993,170.509995,168.169998,169.710007,163.316574,1675500
2020-01-09,170.380005,171.339996,170.119995,171.210007,164.760056,1189600
2020-01-10,172.000000,172.000000,170.639999,171.089996,164.644577,968700
2020-01-13,171.520004,172.470001,171.100006,172.360001,165.866730,926700
2020-01-14,172.119995,172.350006,170.500000,171.229996,164.779312,1688100
2020-01-15,172.070007,174.490005,171.809998,172.809998,166.299774,2114600
2020-01-16,173.860001,174.940002,172.940002,174.880005,168.291809,2281200
2020-01-17,176.029999,176.910004,175.100006,176.869995,170.206818,2818200
2020-01-21,174.949997,177.600006,174.949997,176.199997,169.562073,2016400
2020-01-22,178.320007,179.889999,177.190002,178.330002,171.611847,2060100
2020-01-23,177.770004,178.460007,177.009995,177.830002,171.130676,1520300
2020-01-24,178.830002,178.929993,176.179993,177.210007,170.534027,1676700
2020-01-27,175.190002,176.630005,174.490005,175.740005,169.119415,1622500
2020-01-28,176.029999,178.960007,175.899994,178.300003,171.582977,1642000
2020-01-29,171.850006,174.279999,170.940002,171.039993,164.596466,3842800
2020-01-30,168.960007,175.080002,168.339996,175.009995,168.416885,2731700
2020-01-31,174.500000,175.440002,170.839996,171.389999,164.933289,3316700
2020-02-03,173.880005,175.169998,173.000000,173.940002,167.387222,2162800
2020-02-04,176.669998,178.070007,174.800003,175.919998,169.292633,3423400
2020-02-05,178.369995,179.009995,176.809998,178.619995,171.890930,2675200
2020-02-06,179.750000,180.470001,178.800003,180.259995,173.469116,1600800
2020-02-07,179.779999,179.899994,178.490005,179.100006,172.352829,2311500
2020-02-10,178.660004,179.820007,178.309998,179.360001,172.603027,2153800
2020-02-11,180.250000,180.250000,177.789993,177.970001,171.265396,1584200
2020-02-12,178.690002,180.850006,176.899994,178.029999,171.323120,2622500
2020-02-13,177.470001,180.990005,177.070007,180.110001,173.324768,1913900
2020-02-14,180.160004,181.279999,179.399994,181.250000,174.421829,1566500
2020-02-18,181.360001,182.320007,179.740005,179.929993,173.151550,1512200
2020-02-19,180.500000,181.740005,180.190002,181.250000,174.421829,1651500
2020-02-20,180.669998,181.750000,178.500000,180.770004,173.959915,1501600
2020-02-21,179.800003,180.429993,177.350006,178.580002,171.852417,3538400
2020-02-24,175.779999,177.179993,173.899994,174.539993,167.964600,2084100
2020-02-25,174.649994,175.490005,166.899994,167.179993,160.881866,2606400
2020-02-26,169.000000,170.800003,166.229996,166.330002,160.063919,2319700
2020-02-27,164.059998,165.970001,157.460007,157.529999,151.595444,2843300
2020-02-28,153.410004,159.449997,150.529999,154.740005,148.910553,4583100
2020-03-02,155.550003,163.089996,154.240005,163.000000,156.859360,3194400
2020-03-03,161.630005,164.440002,154.000000,155.240005,149.391693,3095200
2020-03-04,158.419998,164.619995,156.809998,164.389999,158.196960,2847600
2020-03-05,159.440002,163.149994,158.929993,160.669998,154.617142,3359700
2020-03-06,153.419998,160.110001,153.009995,159.149994,153.154388,3137400
2020-03-09,149.100006,155.220001,146.279999,150.919998,145.234436,4551300
2020-03-10,156.949997,157.119995,147.210007,154.419998,148.602570,4152200
2020-03-11,149.649994,151.919998,145.690002,148.009995,142.434082,2751000
2020-03-12,137.550003,137.869995,125.860001,130.279999,126.147583,5497200
2020-03-13,136.990005,144.529999,129.270004,144.500000,139.916534,3604900
2020-03-16,128.059998,131.720001,122.050003,122.459999,118.575623,4415900
2020-03-17,124.449997,130.529999,118.430000,129.389999,125.285828,4274800
2020-03-18,120.860001,122.589996,103.110001,117.599998,113.869781,5108600
2020-03-19,117.800003,123.169998,110.000000,117.370003,113.647087,4022100
2020-03-20,118.919998,119.470001,107.099998,112.059998,108.505508,6257600
2020-03-23,108.529999,112.059998,104.889999,109.070000,105.610359,4794500
2020-03-24,114.660004,122.040001,114.300003,120.959999,117.123215,4884100
2020-03-25,120.760002,130.000000,116.489998,122.589996,118.701500,3941600
2020-03-26,123.059998,138.139999,122.599998,137.059998,132.712524,4041000
2020-03-27,130.360001,136.000000,128.919998,131.380005,127.212700,2997800
2020-03-30,132.399994,138.539993,131.770004,137.820007,133.448425,2522300
2020-03-31,134.979996,139.399994,134.220001,136.679993,132.344559,3513000
2020-04-01,129.979996,133.410004,128.089996,129.720001,125.605331,2905400
2020-04-02,127.720001,132.610001,127.430000,131.550003,127.377296,3808200
2020-04-03,130.699997,132.529999,126.690002,128.570007,124.491837,1567500
2020-04-06,135.000000,140.449997,134.350006,139.649994,135.220367,3664100
2020-04-07,145.539993,147.169998,136.750000,136.960007,132.615692,2870600
2020-04-08,138.000000,139.600006,136.350006,138.529999,134.135880,2726600
2020-04-09,140.229996,143.809998,139.910004,142.520004,137.999359,2683400
2020-04-13,140.229996,140.919998,136.020004,139.529999,135.104172,1728700
2020-04-14,140.720001,143.990005,140.470001,143.869995,139.306488,2404400
2020-04-15,140.139999,140.660004,137.179993,137.639999,133.274124,2146300
2020-04-16,138.520004,138.949997,134.419998,136.919998,132.576950,1949100
2020-04-17,141.509995,142.119995,138.699997,141.080002,136.605011,3179500
2020-04-20,138.529999,141.649994,138.000000,139.820007,135.384995,2521400
2020-04-21,137.210007,137.639999,133.199997,133.610001,129.371964,2178100
2020-04-22,136.750000,139.750000,135.039993,138.699997,134.300491,1558400
2020-04-23,138.850006,141.149994,135.449997,135.919998,131.608673,2345000
2020-04-24,136.529999,139.729996,135.380005,139.229996,134.813690,2000300
2020-04-27,139.809998,142.320007,139.470001,142.220001,137.708847,1779500
2020-04-28,143.229996,146.190002,142.600006,143.009995,138.473801,2129400
2020-04-29,146.759995,146.759995,141.600006,145.839996,141.214020,2644300
2020-04-30,144.490005,147.320007,143.570007,146.690002,142.037079,2592300
2020-05-01,143.169998,144.699997,139.460007,140.419998,135.965958,2617000
2020-05-04,139.360001,144.639999,138.389999,144.479996,139.897156,2614300
2020-05-05,145.559998,147.770004,144.820007,145.820007,141.194672,1672000
2020-05-06,143.130005,147.630005,143.130005,144.559998,139.974609,1780200
2020-05-07,147.389999,149.320007,146.669998,147.770004,143.082809,1900200
2020-05-08,149.570007,149.779999,144.720001,146.000000,141.368958,1738400
2020-05-11,144.089996,145.800003,143.699997,144.610001,140.023071,1762700
2020-05-12,144.850006,145.639999,141.389999,141.729996,137.234406,2014200
2020-05-13,141.729996,141.729996,132.800003,134.580002,130.311188,2963900
2020-05-14,133.970001,135.160004,130.639999,134.949997,130.669464,2164900
2020-05-15,133.770004,134.979996,131.850006,134.850006,130.572617,4047700
2020-05-18,135.320007,137.479996,134.509995,136.399994,132.073456,3753600
2020-05-19,136.210007,137.619995,133.050003,133.100006,128.878143,2523000
2020-05-20,134.639999,136.089996,133.990005,134.779999,130.504868,5466000
2020-05-21,134.080002,135.050003,132.699997,133.320007,129.091187,2856300
2020-05-22,133.000000,135.720001,131.899994,134.869995,130.591995,2201100
2020-05-26,138.000000,139.559998,136.699997,138.919998,134.513519,3080400
2020-05-27,141.300003,145.130005,139.539993,144.669998,140.081131,3439600
2020-05-28,145.669998,146.509995,143.520004,144.800003,140.207016,2547000
2020-05-29,145.369995,146.979996,142.169998,146.490005,141.843414,3239500
2020-06-01,146.009995,146.979996,144.559998,145.550003,140.933212,2374100
2020-06-02,145.410004,148.320007,145.009995,148.250000,143.547607,2880900
2020-06-03,149.800003,152.250000,148.960007,151.679993,146.868759,2100300
2020-06-04,149.880005,151.949997,149.149994,149.970001,145.213028,2086400
2020-06-05,154.300003,161.050003,153.570007,160.130005,155.050751,3344600
2020-06-08,159.360001,161.300003,158.289993,161.149994,156.038406,2270400
2020-06-09,160.750000,160.750000,157.020004,157.690002,152.688171,1885700
2020-06-10,157.729996,158.210007,153.949997,156.039993,151.090485,1690800
2020-06-11,152.960007,154.210007,142.809998,142.990005,139.266617,2922100
2020-06-12,147.500000,148.979996,143.089996,147.009995,143.181931,2726000
