Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,60.680000,61.080002,60.099998,61.040001,59.802402,3878200
2020-01-02,62.000000,62.650002,61.700001,62.200001,60.938877,6647900
2020-01-03,60.689999,61.730000,60.560001,61.209999,59.968945,5415200
2020-01-06,59.849998,60.459999,59.299999,59.889999,58.675709,8586000
2020-01-07,60.270000,62.099998,60.139999,61.619999,60.370632,7970400
2020-01-08,61.700001,62.200001,61.250000,61.580002,60.331444,4364400
2020-01-09,62.200001,62.849998,61.209999,61.970001,60.713539,5713500
2020-01-10,62.529999,62.709999,61.200001,61.470001,60.223682,4456100
2020-01-13,61.480000,61.950001,61.340000,61.810001,60.556782,4111100
2020-01-14,62.090000,63.549999,62.080002,62.349998,61.085835,7998000
2020-01-15,62.299999,62.369999,61.349998,61.930000,60.674355,6314100
2020-01-16,62.590000,63.230000,62.470001,63.209999,61.928402,5733800
2020-01-17,63.790001,63.810001,62.529999,62.849998,61.575699,6327800
2020-01-21,62.740002,63.889999,62.650002,63.200001,61.918606,5777400
2020-01-22,63.700001,64.599998,63.619999,63.889999,62.594612,5598700
2020-01-23,64.129997,64.260002,63.130001,63.889999,62.594612,6540700
2020-01-24,64.800003,64.930000,61.610001,62.000000,60.742935,8007500
2020-01-27,59.950001,60.450001,58.820000,59.049999,57.852741,9350600
2020-01-28,59.759998,60.349998,58.919998,60.189999,58.969627,6228100
2020-01-29,60.070000,60.660000,59.490002,59.820000,58.607132,6515300
2020-01-30,61.540001,62.029999,59.419998,60.250000,59.028416,9656100
2020-01-31,59.820000,59.849998,57.529999,57.990002,56.814236,10132200
2020-02-03,58.680000,60.250000,58.660000,59.720001,58.509163,7847300
2020-02-04,61.410000,63.650002,61.200001,63.009998,61.732449,12322100
2020-02-05,63.980000,64.440002,62.869999,63.799999,62.506432,8252100
2020-02-06,64.019997,64.160004,63.049999,63.189999,61.908802,4870600
2020-02-07,62.840000,62.980000,61.630001,61.709999,60.458809,6093200
2020-02-10,61.080002,62.959999,61.080002,62.919998,61.644279,5121100
2020-02-11,63.599998,64.699997,63.340000,64.449997,63.143253,6203800
2020-02-12,64.930000,65.680000,64.620003,65.370003,64.044601,11592200
2020-02-13,66.750000,69.440002,65.949997,67.370003,66.004059,21742700
2020-02-14,67.459999,67.900002,66.550003,66.849998,65.494598,8104000
2020-02-18,64.230003,66.000000,63.849998,65.160004,64.040039,10208500
2020-02-19,66.500000,67.739998,66.269997,67.410004,66.251366,8502600
2020-02-20,67.000000,67.349998,65.220001,66.400002,65.258720,7535900
2020-02-21,65.910004,66.129997,63.630001,64.269997,63.165325,9658100
2020-02-24,61.130001,61.849998,60.400002,61.080002,60.030163,11223700
2020-02-25,61.919998,62.279999,58.480000,58.860001,57.848316,9942500
2020-02-26,59.580002,60.759998,59.310001,59.810001,58.781994,10851500
2020-02-27,57.200001,58.500000,56.400002,57.000000,56.020287,15746200
2020-02-28,54.189999,58.180000,54.080002,58.119999,57.121033,14943900
2020-03-02,58.700001,60.189999,57.000000,60.160000,59.125969,10795200
2020-03-03,59.970001,61.380001,57.560001,58.040001,57.042416,14036600
2020-03-04,59.439999,60.650002,58.270000,60.520000,59.479794,7925800
2020-03-05,58.560001,60.439999,58.259998,59.130001,58.113682,9842500
2020-03-06,57.000000,58.480000,56.250000,57.790001,56.796715,8958500
2020-03-09,52.810001,55.330002,52.000000,52.070000,51.175022,10305900
2020-03-10,54.400002,56.169998,52.570000,56.169998,55.204552,10107400
2020-03-11,54.279999,54.990002,51.410000,52.490002,51.587807,12974200
2020-03-12,48.779999,50.360001,45.099998,45.110001,44.334652,18043700
2020-03-13,48.669998,51.230000,45.349998,50.889999,50.015312,15539300
2020-03-16,44.049999,46.700001,40.410000,40.529999,39.833370,13763000
2020-03-17,41.759998,46.070000,39.770000,44.860001,44.088947,16361200
2020-03-18,40.570000,41.759998,36.639999,39.180000,38.506577,18870000
2020-03-19,38.680000,42.070000,36.860001,40.189999,39.499214,13066600
2020-03-20,41.490002,43.259998,37.799999,37.990002,37.337032,13967100
2020-03-23,38.639999,41.540001,37.919998,40.169998,39.479557,15138400
2020-03-24,44.240002,46.240002,43.029999,45.139999,44.364143,16338500
2020-03-25,44.930000,48.220001,43.770000,44.730000,43.961189,11550700
2020-03-26,46.230000,49.389999,45.340000,49.200001,48.354359,11864900
2020-03-27,47.700001,48.130001,44.840000,45.049999,44.275684,10624200
2020-03-30,45.400002,47.509998,45.330002,47.299999,46.487011,7839200
2020-03-31,47.169998,47.279999,45.150002,45.820000,45.032448,11068000
2020-04-01,43.830002,46.180000,42.830002,43.299999,42.555763,10665900
2020-04-02,42.500000,44.459999,42.130001,43.240002,42.496792,8764600
2020-04-03,43.459999,43.619999,41.580002,42.279999,41.553299,9488600
2020-04-06,44.840000,46.450001,44.639999,46.150002,45.356773,12046500
2020-04-07,48.000000,48.970001,46.299999,47.560001,46.742546,11962600
2020-04-08,48.630001,51.619999,48.520000,51.459999,50.575508,14429000
2020-04-09,52.000000,52.740002,48.680000,49.590000,48.737644,11654400
2020-04-13,49.299999,49.970001,48.369999,49.880001,49.022667,5750000
2020-04-14,51.410000,52.840000,51.080002,52.470001,51.568153,8025500
2020-04-15,51.310001,51.310001,49.750000,50.369999,49.504242,7206700
2020-04-16,51.869999,52.570000,50.799999,52.230000,51.332272,8878100
