Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,111.250000,112.779999,110.570000,110.959999,110.959999,534600
2020-01-02,111.349998,112.690002,111.309998,112.260002,112.260002,982700
2020-01-03,111.029999,112.779999,111.029999,112.290001,112.290001,661000
2020-01-06,111.980003,113.489998,111.760002,112.800003,112.800003,728700
2020-01-07,111.589996,112.820000,110.690002,112.029999,112.029999,981500
2020-01-08,112.349998,112.529999,110.360001,111.480003,111.480003,1580300
2020-01-09,111.019997,112.650002,110.620003,111.709999,111.709999,1156000
2020-01-10,112.379997,113.300003,111.800003,112.620003,112.620003,894100
2020-01-13,110.699997,114.709999,110.300003,113.440002,113.440002,1324200
2020-01-14,113.040001,114.150002,112.639999,113.680000,113.680000,958500
2020-01-15,113.900002,114.470001,113.559998,113.919998,113.919998,712600
2020-01-16,114.629997,114.970001,113.750000,114.779999,114.779999,1067600
2020-01-17,115.440002,115.580002,113.550003,113.750000,113.750000,1353800
2020-01-21,113.230003,114.160004,112.959999,113.889999,113.889999,1008500
2020-01-22,114.019997,115.500000,114.010002,114.879997,114.879997,696900
2020-01-23,115.000000,115.559998,113.769997,115.510002,115.510002,779700
2020-01-24,115.959999,116.580002,115.040001,115.480003,115.480003,875400
2020-01-27,113.489998,114.750000,112.669998,114.330002,114.330002,911500
2020-01-28,115.010002,115.449997,113.660004,113.769997,113.769997,942000
2020-01-29,114.379997,114.889999,113.389999,113.949997,113.949997,996200
2020-01-30,113.699997,114.500000,112.900002,114.370003,114.370003,960700
2020-01-31,114.370003,114.910004,113.220001,114.309998,114.309998,2115800
2020-02-03,111.000000,114.620003,111.000000,113.580002,113.580002,2075600
2020-02-04,113.620003,115.449997,112.699997,115.120003,115.120003,1259100
2020-02-05,115.800003,117.089996,114.599998,115.519997,115.519997,1163600
2020-02-06,116.080002,118.220001,115.870003,117.529999,117.529999,1173700
2020-02-07,117.489998,118.099998,116.510002,117.260002,117.260002,812800
2020-02-10,116.940002,118.099998,116.879997,118.080002,118.080002,597200
2020-02-11,118.629997,119.669998,117.809998,117.879997,117.879997,807100
2020-02-12,118.610001,119.620003,118.139999,119.279999,119.279999,815900
2020-02-13,118.930000,119.260002,117.099998,117.879997,117.879997,986200
2020-02-14,117.879997,118.489998,116.730003,117.099998,117.099998,576700
2020-02-18,116.410004,117.070000,114.330002,116.400002,116.400002,960500
2020-02-19,116.599998,117.430000,116.330002,117.000000,117.000000,705300
2020-02-20,116.529999,117.610001,115.779999,117.540001,117.540001,739200
2020-02-21,117.029999,117.660004,116.050003,116.339996,116.339996,710300
2020-02-24,113.269997,114.750000,111.019997,111.650002,111.650002,1396300
2020-02-25,111.919998,111.970001,106.169998,106.379997,106.379997,2829700
2020-02-26,107.360001,108.180000,103.580002,103.660004,103.660004,1965000
2020-02-27,101.959999,105.690002,100.430000,101.639999,101.639999,2444100
2020-02-28,99.339996,104.250000,98.910004,103.800003,103.800003,2347000
2020-03-02,104.300003,104.900002,101.699997,104.120003,104.120003,1689100
2020-03-03,103.529999,104.290001,100.309998,100.500000,100.500000,2021900
2020-03-04,101.900002,104.059998,101.570000,104.000000,104.000000,1171000
2020-03-05,99.419998,102.690002,99.410004,100.580002,100.580002,1147900
2020-03-06,97.919998,100.709999,96.400002,98.599998,98.599998,2276900
2020-03-09,93.019997,95.870003,89.050003,91.779999,91.779999,3008200
2020-03-10,94.699997,94.699997,89.989998,92.739998,92.739998,3777800
2020-03-11,90.580002,92.510002,89.750000,90.750000,90.750000,3126400
2020-03-12,86.129997,86.199997,80.059998,82.050003,82.050003,3532400
2020-03-13,87.180000,93.889999,85.980003,93.669998,93.669998,2925500
2020-03-16,85.230003,95.360001,82.410004,90.930000,90.930000,2840700
2020-03-17,92.709999,101.690002,91.010002,99.839996,99.839996,4341300
2020-03-18,95.540001,100.830002,90.040001,92.070000,92.070000,2329500
2020-03-19,91.760002,95.660004,89.199997,91.510002,91.510002,1889400
2020-03-20,92.419998,96.400002,89.629997,89.750000,89.750000,1539000
2020-03-23,89.400002,92.360001,83.720001,87.500000,87.500000,1660200
2020-03-24,91.040001,92.519997,88.669998,91.940002,91.940002,1357100
2020-03-25,91.639999,95.290001,88.650002,93.860001,93.860001,1363900
2020-03-26,93.919998,97.379997,93.419998,95.500000,95.500000,1989200
2020-03-27,93.400002,101.559998,92.010002,99.070000,99.070000,1738400
2020-03-30,99.500000,101.110001,96.000000,99.190002,99.190002,1720600
2020-03-31,98.290001,102.699997,98.010002,100.540001,100.540001,1785700
2020-04-01,98.830002,99.410004,96.120003,98.279999,98.279999,1327100
2020-04-02,98.860001,101.209999,97.290001,98.739998,98.739998,1412100
2020-04-03,97.529999,99.599998,96.209999,98.309998,98.309998,805700
2020-04-06,100.800003,104.120003,99.010002,103.580002,103.580002,1119200
2020-04-07,105.099998,106.370003,103.290001,105.139999,105.139999,1040900
2020-04-08,105.739998,107.699997,104.839996,107.040001,107.040001,912200
2020-04-09,107.190002,108.400002,104.720001,105.360001,105.360001,1269500
2020-04-13,104.330002,105.820000,103.779999,105.000000,105.000000,604800
2020-04-14,107.000000,107.690002,103.269997,103.779999,103.779999,1843200
2020-04-15,102.879997,104.099998,101.650002,102.099998,102.099998,1558100
2020-04-16,102.580002,105.500000,102.580002,104.910004,104.910004,1357200
2020-04-17,105.500000,106.750000,104.930000,106.120003,106.120003,1019600
2020-04-20,105.820000,106.889999,105.239998,105.330002,105.330002,821700
2020-04-21,105.000000,105.449997,100.660004,101.790001,101.790001,1594400
2020-04-22,103.410004,104.599998,102.769997,103.879997,103.879997,773900
2020-04-23,103.430000,104.839996,102.870003,103.839996,103.839996,1218500
2020-04-24,104.220001,105.470001,103.089996,104.370003,104.370003,1984400
2020-04-27,108.989998,109.849998,103.400002,108.089996,108.089996,2790800
2020-04-28,109.540001,110.980003,105.180000,105.250000,105.250000,1174400
2020-04-29,106.680000,107.750000,105.440002,105.559998,105.559998,1068500
2020-04-30,106.230003,106.250000,104.519997,105.739998,105.739998,989000
2020-05-01,104.160004,105.059998,101.470001,101.989998,101.989998,806200
2020-05-04,101.839996,103.970001,101.599998,103.620003,103.620003,622800
2020-05-05,104.220001,106.330002,103.750000,105.150002,105.150002,854100
2020-05-06,106.699997,106.900002,104.680000,105.650002,105.650002,787700
2020-05-07,107.610001,108.349998,106.879997,107.209999,107.209999,1032100
2020-05-08,107.870003,107.870003,106.739998,106.989998,106.989998,643000
2020-05-11,106.290001,108.400002,106.139999,107.989998,107.989998,768100
2020-05-12,108.190002,108.430000,104.989998,105.059998,105.059998,771500
2020-05-13,105.180000,105.739998,101.660004,102.400002,102.400002,1147100
2020-05-14,101.419998,104.910004,101.269997,104.849998,104.849998,1121200
