Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,36.939999,37.174999,36.759998,37.070000,36.067272,2315400
2020-01-02,37.410000,37.470001,36.575001,37.070000,36.067272,4500700
2020-01-03,36.689999,36.980000,36.619999,36.665001,35.673229,4035800
2020-01-06,36.660000,36.764999,36.360001,36.570000,35.580795,2433100
2020-01-07,36.560001,37.224998,36.400002,37.070000,36.067272,3254000
2020-01-08,37.130001,37.509998,37.040001,37.110001,36.106197,3709700
2020-01-09,37.180000,37.365002,36.814999,37.180000,36.174297,3621900
2020-01-10,37.119999,37.240002,36.639999,36.720001,35.726746,2664000
2020-01-13,36.720001,37.150002,36.470001,36.990002,35.989437,2674400
2020-01-14,36.790001,37.509998,36.759998,37.259998,36.252132,4530900
2020-01-15,37.360001,37.599998,37.169998,37.480000,36.466187,6165200
2020-01-16,37.709999,39.139999,37.619999,39.110001,38.052094,7362800
2020-01-17,39.279999,39.735001,39.160000,39.340000,38.275871,4785900
2020-01-21,39.000000,39.380001,38.840000,39.099998,38.042362,4104800
2020-01-22,39.150002,39.310001,38.855000,39.090000,38.032639,3920900
2020-01-23,38.770000,39.020000,37.340000,37.490002,36.475914,5845500
2020-01-24,37.299999,37.459999,36.180000,36.610001,35.619720,9289700
2020-01-27,36.439999,37.014999,36.189999,36.880001,35.882412,9909300
2020-01-28,37.349998,37.430000,36.750000,37.139999,36.135384,3268100
2020-01-29,36.950001,37.220001,36.424999,36.580002,35.590534,2596000
2020-01-30,36.169998,37.070000,36.049999,37.029999,36.028358,2956800
2020-01-31,37.000000,37.200001,36.470001,37.080002,36.077011,5283900
2020-02-03,37.299999,37.990002,37.110001,37.590000,36.573212,3371400
2020-02-04,37.959999,38.310001,37.750000,38.029999,37.001308,3331000
2020-02-05,38.540001,38.980000,38.119999,38.669998,37.623997,6335000
2020-02-06,39.099998,39.419998,36.730000,37.110001,36.106197,9336400
2020-02-07,36.980000,37.070000,36.480000,37.000000,35.999172,3634300
2020-02-10,36.869999,37.410000,36.720001,37.299999,36.291054,3212900
2020-02-11,37.230000,37.438999,36.660000,37.130001,36.125648,2550300
2020-02-12,37.330002,37.700001,37.230000,37.669998,36.651043,3303300
2020-02-13,37.529999,38.275002,37.459999,38.000000,36.972118,2034800
2020-02-14,38.080002,38.110001,37.480000,37.799999,36.777527,2349600
2020-02-18,37.759998,37.990002,37.450001,37.779999,36.758068,2065400
2020-02-19,37.930000,38.279999,37.599998,38.029999,37.001308,1839300
2020-02-20,37.700001,37.900002,36.330002,37.029999,36.028358,5305700
2020-02-21,36.709999,37.599998,35.750000,35.990002,35.016491,5024200
2020-02-24,35.650002,35.650002,34.480000,34.689999,33.751652,5577600
2020-02-25,34.810001,35.000000,33.025002,33.209999,32.311687,5241300
2020-02-26,33.560001,33.770000,32.400002,32.790001,31.903048,5632300
2020-02-27,32.230000,32.889999,31.330000,31.340000,30.492268,7439900
