Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,177.389999,178.509995,176.300003,178.169998,173.004181,869400
2020-01-02,180.779999,182.699997,180.020004,182.570007,177.276642,1056900
2020-01-03,179.330002,181.169998,177.860001,179.080002,173.887802,833400
2020-01-06,176.320007,177.559998,174.089996,175.050003,169.974670,1266800
2020-01-07,176.139999,177.770004,174.300003,176.440002,171.324356,1139300
2020-01-08,176.500000,178.660004,175.520004,176.669998,171.547684,883500
2020-01-09,178.410004,179.419998,174.949997,175.490005,170.401901,916900
2020-01-10,176.410004,177.429993,171.949997,173.009995,167.993805,883800
2020-01-13,173.970001,175.110001,173.360001,175.100006,170.023193,662000
2020-01-14,175.910004,178.220001,174.070007,177.479996,172.334198,1279600
2020-01-15,177.089996,178.699997,175.850006,177.919998,172.761444,922800
2020-01-16,179.500000,181.830002,179.009995,180.910004,175.664749,1197200
2020-01-17,180.869995,180.899994,177.360001,178.729996,173.547943,1604700
2020-01-21,177.649994,180.889999,177.570007,178.809998,173.625610,1571400
2020-01-22,180.000000,182.779999,179.869995,180.130005,174.907394,1084600
2020-01-23,179.820007,182.660004,179.119995,182.550003,177.257202,1056900
2020-01-24,183.880005,184.500000,178.429993,179.399994,174.198547,961000
2020-01-27,174.770004,175.229996,169.850006,170.309998,165.372055,1581300
2020-01-28,172.199997,176.330002,171.699997,175.929993,170.829132,938100
2020-01-29,176.350006,176.940002,171.660004,171.720001,166.741180,1028900
2020-01-30,173.500000,175.369995,169.570007,172.919998,167.906403,1448000
2020-01-31,171.380005,172.750000,165.250000,165.740005,160.934570,1505700
2020-02-03,167.270004,170.649994,167.009995,169.929993,165.003098,1181500
2020-02-04,174.330002,178.800003,173.839996,178.800003,173.615921,1735900
2020-02-05,176.059998,177.789993,168.800003,171.279999,166.313980,3113100
2020-02-06,171.429993,173.389999,170.149994,171.740005,166.760635,1370300
2020-02-07,170.710007,171.270004,164.759995,165.100006,160.313156,1492800
2020-02-10,164.100006,169.009995,164.080002,168.919998,164.022385,1680300
2020-02-11,169.210007,173.529999,168.330002,173.039993,168.022934,1269000
2020-02-12,174.000000,176.460007,173.850006,175.970001,170.867981,957700
2020-02-13,175.679993,180.080002,174.910004,178.720001,173.538254,1158000
2020-02-14,179.119995,179.759995,174.889999,176.279999,171.168991,864800
2020-02-18,167.000000,172.000000,166.669998,169.229996,164.323380,1778300
2020-02-19,172.210007,174.820007,171.000000,172.979996,167.964645,1069300
2020-02-20,171.740005,172.419998,165.669998,167.300003,163.251556,1664400
2020-02-21,165.669998,166.250000,160.809998,161.119995,157.221100,1909900
2020-02-24,154.750000,156.860001,152.899994,153.729996,150.009903,2649600
2020-02-25,155.279999,155.990005,147.070007,147.410004,143.842865,2046900
2020-02-26,149.000000,150.649994,146.220001,147.270004,143.706253,1879300
2020-02-27,142.809998,148.380005,142.270004,147.990005,144.408829,3589700
2020-02-28,142.089996,153.929993,142.089996,153.710007,149.990417,3695100
2020-03-02,154.500000,159.000000,151.710007,158.740005,154.898697,2706400
2020-03-03,156.809998,159.289993,152.380005,153.809998,150.087997,2397400
2020-03-04,157.089996,160.710007,154.660004,160.710007,156.821030,1493300
2020-03-05,156.649994,158.880005,154.479996,156.690002,152.898285,1697000
2020-03-06,152.050003,156.139999,151.490005,155.679993,151.912735,1858400
2020-03-09,144.979996,150.490005,144.259995,144.919998,141.413116,2815600
2020-03-10,148.509995,154.759995,145.580002,154.570007,150.829590,2438500
2020-03-11,150.130005,152.220001,142.619995,144.919998,141.413116,2730500
2020-03-12,135.240005,139.000000,125.250000,125.360001,122.326454,2672700
2020-03-13,132.820007,145.759995,127.889999,145.369995,141.852203,2804300
2020-03-16,128.690002,140.479996,126.190002,129.500000,126.366257,2752300
2020-03-17,131.869995,150.440002,125.639999,149.630005,146.009140,3213600
2020-03-18,132.250000,143.130005,127.360001,132.020004,128.825317,2664600
2020-03-19,131.880005,135.419998,126.760002,127.360001,124.278046,1954800
2020-03-20,129.710007,132.550003,113.080002,114.019997,111.260864,2632600
2020-03-23,114.320000,120.690002,110.190002,116.360001,113.544235,2124900
2020-03-24,121.699997,136.550003,120.000000,136.360001,133.060272,2776100
2020-03-25,135.720001,145.940002,134.389999,137.470001,134.143402,1703000
2020-03-26,140.770004,150.470001,139.059998,149.759995,146.135986,1870400
2020-03-27,145.039993,147.169998,141.320007,142.240005,138.797989,2240600
2020-03-30,142.070007,150.570007,142.000000,149.520004,145.901840,1623700
2020-03-31,150.839996,150.839996,141.529999,143.740005,140.261673,2907200
2020-04-01,138.699997,141.220001,129.660004,131.610001,128.425201,1660800
2020-04-02,129.570007,133.789993,129.309998,132.440002,129.235123,1346000
2020-04-03,130.820007,132.990005,125.559998,127.940002,124.844017,1143700
2020-04-06,135.210007,149.210007,132.929993,148.500000,144.906494,1846000
2020-04-07,154.100006,155.000000,146.520004,147.270004,143.706253,1454100
2020-04-08,149.589996,153.149994,146.910004,152.369995,148.682846,1350000
2020-04-09,152.149994,157.869995,148.490005,150.119995,146.487289,1303800
2020-04-13,149.500000,152.419998,148.179993,152.089996,148.409622,868300
2020-04-14,155.100006,162.339996,153.809998,161.729996,157.816345,1274700
2020-04-15,158.179993,158.300003,151.110001,153.220001,149.512268,1278600
2020-04-16,158.210007,160.750000,154.229996,156.649994,152.859268,1563000
2020-04-17,160.929993,162.289993,157.789993,161.210007,157.308929,998100
2020-04-20,158.789993,160.339996,156.050003,156.300003,152.517731,634800
2020-04-21,153.440002,154.179993,147.460007,148.589996,144.994293,1284700
2020-04-22,154.309998,159.360001,151.289993,158.679993,154.840134,1207500
2020-04-23,158.440002,160.839996,157.009995,159.449997,155.591492,1404500
2020-04-24,160.979996,165.570007,158.020004,164.919998,160.929138,1492500
2020-04-27,167.039993,169.240005,164.639999,166.059998,162.041550,1030500
2020-04-28,168.389999,170.770004,165.949997,166.270004,162.246460,1198900
2020-04-29,169.929993,177.169998,168.210007,175.889999,171.633667,1518900
2020-04-30,173.949997,175.309998,163.970001,164.089996,160.119217,1241400
2020-05-01,158.300003,158.889999,147.710007,150.270004,146.633667,2692500
2020-05-04,149.679993,152.869995,147.539993,152.000000,148.321777,1473200
2020-05-05,156.460007,160.690002,153.960007,155.630005,151.863937,1868900
2020-05-06,163.410004,169.130005,158.460007,163.809998,159.845993,2422700
2020-05-07,167.369995,169.690002,163.570007,163.839996,159.875275,1682200
2020-05-08,166.830002,172.389999,165.679993,171.500000,167.349930,1265400
2020-05-11,169.190002,169.949997,167.279999,168.779999,164.695740,1145800
2020-05-12,170.220001,171.190002,165.410004,165.570007,161.563431,965300
2020-05-13,165.369995,168.610001,160.660004,164.070007,160.099731,1805100
2020-05-14,162.550003,176.960007,158.889999,176.750000,172.472870,2683500
2020-05-15,168.029999,171.619995,165.979996,167.429993,164.167892,3709900
2020-05-18,171.809998,173.470001,168.779999,172.309998,168.952835,1492100
2020-05-19,172.210007,177.630005,171.139999,172.520004,169.158737,1074800
2020-05-20,175.500000,180.210007,174.970001,177.919998,174.453537,1302600
2020-05-21,176.130005,177.250000,171.860001,172.429993,169.070480,1001800
2020-05-22,173.770004,173.970001,170.399994,173.000000,169.629379,666400
2020-05-26,176.910004,180.330002,174.690002,176.639999,173.198471,1911100
2020-05-27,178.119995,178.899994,168.240005,176.729996,173.286697,1659600
2020-05-28,177.660004,180.220001,173.399994,174.610001,171.208023,1272000
2020-05-29,176.000000,177.970001,173.570007,175.960007,172.531708,1792100
2020-06-01,175.000000,178.399994,173.449997,175.960007,172.531708,1085400
2020-06-02,175.300003,177.550003,172.940002,177.289993,173.835785,892600
2020-06-03,178.839996,186.949997,178.380005,186.050003,182.425140,1659800
2020-06-04,184.809998,189.119995,183.690002,186.289993,182.660416,1068700
2020-06-05,190.220001,196.250000,189.330002,192.479996,188.729843,1500200
2020-06-08,193.619995,194.059998,188.770004,191.869995,188.131729,816400
