Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,113.900002,114.489998,113.169998,114.260002,114.260002,500600
2020-01-02,113.690002,114.849998,111.349998,112.410004,112.410004,1040800
2020-01-03,110.739998,113.949997,109.949997,112.650002,112.650002,632900
2020-01-06,111.830002,112.190002,110.220001,111.000000,111.000000,923800
2020-01-07,111.220001,112.599998,109.989998,111.320000,111.320000,860300
2020-01-08,111.699997,112.419998,110.769997,111.199997,111.199997,753700
2020-01-09,112.199997,112.639999,110.919998,111.830002,111.830002,596600
2020-01-10,111.980003,114.480003,111.870003,112.440002,112.440002,829000
2020-01-13,112.230003,112.230003,104.239998,105.470001,105.470001,1663900
2020-01-14,104.849998,109.089996,104.540001,107.750000,107.750000,1584700
2020-01-15,108.550003,108.779999,106.070000,106.650002,106.650002,763500
2020-01-16,107.330002,107.739998,105.889999,107.660004,107.660004,1021500
2020-01-17,108.410004,109.029999,107.080002,109.000000,109.000000,745700
2020-01-21,108.379997,109.800003,108.220001,108.669998,108.669998,948800
2020-01-22,108.860001,111.790001,108.110001,111.720001,111.720001,973700
2020-01-23,111.900002,115.750000,111.000000,115.349998,115.349998,1194600
2020-01-24,115.180000,118.660004,112.290001,113.570000,113.570000,1898900
2020-01-27,112.199997,112.529999,108.870003,110.430000,110.430000,1013700
2020-01-28,111.709999,113.330002,110.690002,112.930000,112.930000,842000
2020-01-29,112.610001,112.930000,109.540001,111.809998,111.809998,633000
2020-01-30,111.099998,111.940002,108.820000,109.870003,109.870003,790200
2020-01-31,109.230003,111.300003,107.139999,108.389999,108.389999,801400
2020-02-03,108.510002,110.459999,107.820000,108.680000,108.680000,819800
2020-02-04,110.449997,111.660004,108.000000,111.510002,111.510002,932900
2020-02-05,113.449997,119.709999,113.150002,118.300003,118.300003,1134400
2020-02-06,118.730003,120.279999,117.730003,118.639999,118.639999,1130100
2020-02-07,111.230003,118.330002,111.000000,117.410004,117.410004,1642500
2020-02-10,116.699997,116.779999,112.809998,116.510002,116.510002,1352700
2020-02-11,117.860001,124.320000,116.919998,117.949997,117.949997,1041800
2020-02-12,118.230003,119.220001,116.589996,118.070000,118.070000,789800
2020-02-13,117.769997,119.040001,117.470001,118.220001,118.220001,447600
2020-02-14,118.400002,118.599998,116.279999,118.070000,118.070000,630200
2020-02-18,116.330002,120.470001,116.120003,119.970001,119.970001,1065900
2020-02-19,121.000000,121.739998,119.610001,119.889999,119.889999,663800
2020-02-20,119.489998,119.910004,115.660004,118.330002,118.330002,883500
2020-02-21,118.339996,119.820000,116.550003,117.000000,117.000000,898600
2020-02-24,115.250000,117.809998,110.769997,116.000000,116.000000,1466100
2020-02-25,116.050003,116.800003,111.519997,112.379997,112.379997,1073000
2020-02-26,113.690002,116.809998,110.879997,112.110001,112.110001,1416500
2020-02-27,111.360001,113.059998,106.309998,108.309998,108.309998,1258700
2020-02-28,104.519997,114.239998,104.510002,113.860001,113.860001,1244300
2020-03-02,108.169998,111.959999,102.029999,111.879997,111.879997,3334100
2020-03-03,110.910004,112.220001,106.570000,107.400002,107.400002,1089200
2020-03-04,109.919998,115.980003,109.000000,115.980003,115.980003,1068500
2020-03-05,112.889999,119.690002,111.750000,118.809998,118.809998,1125100
2020-03-06,114.739998,116.470001,111.900002,114.870003,114.870003,1011300
2020-03-09,108.879997,113.250000,105.010002,106.720001,106.720001,1282600
2020-03-10,108.690002,108.980003,102.650002,107.440002,107.440002,1732400
2020-03-11,104.910004,107.669998,103.540001,104.510002,104.510002,1409500
2020-03-12,95.000000,106.800003,93.000000,97.010002,97.010002,1568400
2020-03-13,101.010002,103.449997,91.000000,102.720001,102.720001,2042000
2020-03-16,95.330002,101.199997,90.570000,95.750000,95.750000,1821700
2020-03-17,97.970001,101.610001,95.180000,100.730003,100.730003,1674700
2020-03-18,96.879997,103.650002,91.750000,95.849998,95.849998,1314300
2020-03-19,96.059998,103.860001,94.320000,100.010002,100.010002,1036500
2020-03-20,100.010002,106.570000,99.300003,99.860001,99.860001,2649000
2020-03-23,101.750000,103.370003,94.349998,99.269997,99.269997,1294900
2020-03-24,102.650002,105.000000,97.500000,101.870003,101.870003,1548600
2020-03-25,100.900002,107.839996,98.500000,105.459999,105.459999,1206200
2020-03-26,105.519997,116.290001,104.500000,116.139999,116.139999,1326500
2020-03-27,113.769997,115.949997,108.230003,109.269997,109.269997,1004100
2020-03-30,110.610001,115.690002,110.610001,115.290001,115.290001,750400
2020-03-31,114.870003,117.980003,113.000000,115.379997,115.379997,1410500
2020-04-01,111.629997,114.930000,110.400002,111.239998,111.239998,829000
2020-04-02,109.400002,119.000000,109.400002,118.669998,118.669998,1310900
2020-04-03,117.250000,119.440002,115.940002,116.510002,116.510002,760600
2020-04-06,121.660004,124.760002,118.430000,124.470001,124.470001,1182300
2020-04-07,126.160004,128.000000,120.660004,121.870003,121.870003,970600
2020-04-08,122.519997,122.519997,118.510002,119.680000,119.680000,1219300
2020-04-09,119.000000,121.589996,117.989998,120.320000,120.320000,805900
2020-04-13,119.809998,121.139999,117.910004,120.129997,120.129997,491400
2020-04-14,123.040001,124.489998,118.279999,123.790001,123.790001,970600
2020-04-15,124.089996,126.980003,121.949997,125.040001,125.040001,756300
2020-04-16,127.000000,133.990005,126.550003,133.399994,133.399994,1377900
2020-04-17,135.750000,136.970001,131.740005,136.869995,136.869995,1164100
2020-04-20,138.940002,145.910004,137.500000,142.550003,142.550003,1127300
2020-04-21,141.979996,142.899994,137.259995,137.369995,137.369995,940300
2020-04-22,139.960007,140.559998,138.500000,139.020004,139.020004,686000
2020-04-23,139.270004,145.940002,138.729996,140.880005,140.880005,1272900
2020-04-24,141.009995,146.320007,139.550003,146.039993,146.039993,648200
2020-04-27,150.000000,150.000000,146.000000,147.479996,147.479996,645800
2020-04-28,147.229996,148.490005,142.570007,143.369995,143.369995,888200
2020-04-29,144.190002,144.880005,137.809998,138.080002,138.080002,1014900
2020-04-30,138.990005,140.899994,136.699997,137.229996,137.229996,2036700
2020-05-01,141.000000,157.000000,140.050003,145.639999,145.639999,2800000
2020-05-04,145.009995,155.889999,145.009995,155.759995,155.759995,2072200
2020-05-05,163.119995,168.100006,160.500000,165.429993,165.429993,2026800
2020-05-06,166.429993,167.509995,163.080002,164.639999,164.639999,1728300
2020-05-07,168.000000,168.000000,163.050003,163.259995,163.259995,1306900
2020-05-08,163.479996,164.000000,152.850006,157.669998,157.669998,3736700
2020-05-11,155.690002,161.869995,154.229996,160.960007,160.960007,1798100
2020-05-12,162.520004,166.949997,158.679993,161.770004,161.770004,1494300
2020-05-13,163.720001,164.720001,156.309998,157.839996,157.839996,1329700
2020-05-14,157.660004,162.229996,156.039993,160.089996,160.089996,888400
